prices,market_caps,total_volumes,id_coin,date
5014.956,88332459637.7143,20072621554.053333,bitcoin,2019-04-06
5041.869,88955701285.46048,19652913084.11381,bitcoin,2019-04-07
5176.978,91102196906.19292,22875598540.266926,bitcoin,2019-04-08
5266.895,92817357385.16908,21960916922.811954,bitcoin,2019-04-09
5172.175,91255525157.87743,15780870292.553698,bitcoin,2019-04-10
5308.906,93646653914.38365,19407452726.86936,bitcoin,2019-04-11
5047.793,89079171479.86378,19758274668.344517,bitcoin,2019-04-12
5082.465,89668931907.92058,15595642633.838465,bitcoin,2019-04-13
5072.987,89473995793.9539,12260233700.583128,bitcoin,2019-04-14
5149.314,90952758268.0811,12373544680.894629,bitcoin,2019-04-15
5039.881,89148028192.09521,13837248984.63684,bitcoin,2019-04-16
5213.598,91835875597.91147,13646324289.841606,bitcoin,2019-04-17
5218.957,92156851198.58777,14530488675.954275,bitcoin,2019-04-18
5274.767,93215173176.98566,15343841014.064018,bitcoin,2019-04-19
5280.354,93210585886.91354,16257796673.886168,bitcoin,2019-04-20
5307.689,93900276128.91374,14990889921.786966,bitcoin,2019-04-21
5311.165,93759009855.06888,16383813161.830389,bitcoin,2019-04-22
5380.936,94990455842.8902,17199396916.729523,bitcoin,2019-04-23
5557.926,98039931169.25388,19400647819.940308,bitcoin,2019-04-24
5452.102,96218396013.24342,20538511242.262634,bitcoin,2019-04-25
5203.089,91817406863.89627,19329534423.79327,bitcoin,2019-04-26
5295.847,93049690718.15042,19632024917.711243,bitcoin,2019-04-27
5256.978,93148101239.95938,14876251954.397636,bitcoin,2019-04-28
5257.803,92775167509.00262,15573084968.740429,bitcoin,2019-04-29
5199.755,91885324029.79892,15442022886.730194,bitcoin,2019-04-30
5292.804,93534079555.95955,16794865767.201723,bitcoin,2019-05-01
5354.587,94579889910.03488,14566414699.69271,bitcoin,2019-05-02
5450.707,96389607751.50581,16512618030.609243,bitcoin,2019-05-03
5731.493,101175865117.03497,20006287572.082245,bitcoin,2019-05-04
5803.943,102653043813.21808,19242843059.82611,bitcoin,2019-05-05
5749.324,101764683178.68076,16184057012.270828,bitcoin,2019-05-06
5715.757,101101531131.03914,16811224132.040009,bitcoin,2019-05-07
5841.054,103982497546.43155,19408267639.192204,bitcoin,2019-05-08
5957.857,105271848239.8506,16672412472.112143,bitcoin,2019-05-09
6168.269,109284325643.20634,18401396126.039753,bitcoin,2019-05-10
6370.234,112684642518.92992,20801839693.04227,bitcoin,2019-05-11
7258.261,129323693413.35974,32480039429.768772,bitcoin,2019-05-12
6953.751,122826926577.3603,31545333636.538036,bitcoin,2019-05-13
7805.982,138089773338.27194,32078035930.772472,bitcoin,2019-05-14
7990.056,141341132028.998,35426123184.643654,bitcoin,2019-05-15
8192.223,144615566025.01224,30893707828.03641,bitcoin,2019-05-16
7875.913,139525363820.16046,35026947533.93092,bitcoin,2019-05-17
7343.371,130123159718.19748,33030146385.78164,bitcoin,2019-05-18
7300.655,129270047519.99455,22478772524.431953,bitcoin,2019-05-19
8168.731,144597541605.24557,30747684364.455803,bitcoin,2019-05-20
7976.852,141109768386.16797,28621475467.769623,bitcoin,2019-05-21
7958.366,141016653223.21735,25314342979.04727,bitcoin,2019-05-22
7665.797,135913068220.78972,24589881451.39529,bitcoin,2019-05-23
7861.813,139495233992.3291,25345060242.591587,bitcoin,2019-05-24
